"Timestamp","Selecciona tu sexo 👤","¿Cuántos años tienes? 🎂","¿Cuál es tu situación sentimental? ❤️","¿Trabajas? 💼","¿Tienes hijos? 🍼","¿Cuál es tu código postal?","¿A qué carrera ingresaste?","¿En qué grupo estás?","¿Qué tanto evitaste que tu carrera tuviera matemáticas?","Esta carrera ¿Fue tu primera opción?","¿La FES Acatlán fue tu primera opción para cursar esta carrera?","¿De qué bachillerato provienes?","¿Qué promedio obtuviste en el bachillerato?","Si tuvieras que volver a clases presenciales ¿Cuánto tiempo tardarías en minutos en llegar a la FES Acatlán? ⏱","¿Cuánto gastarías de pasaje / gasolina a la semana?","¿A cuánto asciende el ingreso mensual neto de todas las personas que trabajan y viven contigo?","¿En dónde tomas tus clases en línea?","¿Cuántas personas viven contigo?","De las personas que viven contigo ¿Cuántas toman clases en línea?","De las personas que viven contigo ¿Cuántas trabajan en línea?","¿Cuántas computadoras hay en tu casa?","¿Cómo funciona tu internet para las clases en línea?","Hazle un test a tu Internet (ingresando a speedtest.net) y compártenos su velocidad","¿Qué sistema operativo tiene la computadora que utilizas para estudiar en línea?","¿Con cuántas personas compartes habitación mientras tomas clases en línea?","Aproximadamente ¿Cuánto has gastado para adaptarte a las clases en línea?","Del 1 al 5 ¿Qué tan bien estaban preparados tus profesores para dar clases en línea?","¿Cuánto tiempo en minutos dedicas a estudiar fuera de las clases en línea?","Aproximadamente ¿Cuántas veces revisas tu celular mientras estás en una clase en línea?","Del 1 al 5 ¿Cuánto extrañas las clases presenciales? 📖","Del 1 al 5 ¿Cuánto extrañas convivir con tus compañeros o amigos de la escuela? 👩🏻‍🤝‍🧑🏼","Del 1 al 5 ¿Cuánto extrañas las actividades extras que ofrecía tu escuela? ⚽🎹🎬","Del 1 al 5 ¿Cuánto te agrada poner la cámara en las clases en línea?","Del 1 al 5 ¿Qué tan buen estudiante en línea consideras que eres?","¿Te gustaría volver a clases presenciales?"
"2021/08/11 2:20:41 PM CDT","Hombre","17","Soltero","Si","No","52965","Actuaría","1102","1","Si","Sí","CCH","9","40","120","18000","Mi casa","3","1","1","3","5","122","Windows","0","0","5","60","4","5","4","4","4","5","Si"
"2021/08/11 2:21:46 PM CDT","Hombre","19","Soltero","No","No","56535","Actuaría","1102","1","Si","Sí","Otro","8.84","100","60","30000","Mi casa","5","2","1","5","4","12.19","Windows","0","15000","1","120","3","3","4","2","2","4","Si"
"2021/08/11 2:23:42 PM CDT","Hombre","22","Soltero","Si","No","91270","Actuaría","1102","2","Si","Sí","Otro","7","0","0","10000","Mi casa","6","2","0","2","1","30.85","Windows","0","0","5","120","0","3","3","3","1","3","Si"
"2021/08/11 2:24:01 PM CDT","Mujer","17","Soltero","No","No","07170","Actuaría","1102","1","Si","Sí","CCH","9.49","91 ","150","8000","Mi casa","5","2","0","2","3","4.91 ","Windows","1","8500","3","5","5","2","3","2","1","3","Si"
"2021/08/11 2:24:52 PM CDT","Mujer","17","Tengo pareja","Si","No","54190","Actuaría","1102","1","Si","Sí","CCH","8.7","120","300","4000","Mi casa","4","1","0","1","3","11.97","Windows","1","5000","4","90","2","5","5","4","4","4","Si"
"2021/08/11 2:25:19 PM CDT","Hombre","17","Soltero","No","No","07899","Actuaría","1102","1","Si","No","Prepa UNAM","8.5","90","150","13000","Mi casa","3","2","0","2","3","33.74","Windows","0","0","3","60","5","4","5","4","3","4","Si"
"2021/08/11 2:27:32 PM CDT","Mujer","18","Tengo pareja","No","No","55712","Actuaría","1102","1","Si","Sí","CCH","9.3","90","500","10000","Mi casa","3","2","0","2","4","13.97","Windows","1","1000","4","180","10","5","5","5","2","5","Si"
"2021/08/11 2:27:55 PM CDT","Mujer","18","Soltero","No","No","54987","Actuaría","1102","1","Si","Sí","CCH","9.83","95","80","18000","Mi casa","3","2","1","4","3","19.12","Windows","0","12000","5","180","5","4","5","5","3","5","Si"
"2021/08/11 2:28:13 PM CDT","Hombre","18","Soltero","No","No","54654","Actuaría","1102","1","Si","Sí","CCH","8.8","20 ","240","10000","Mi casa","4","1","0","1","3","14.18","Windows","1","0","4","60","2","5","4","2","1","3","Si"
"2021/08/11 2:29:15 PM CDT","Hombre","17","Soltero","No","No","53215","Actuaría","1102","2","Si","Sí","CCH","8.87","15","150","5000","Mi casa","3","2","0","1","3","23.25","Windows","3","500","2","4","10","5","5","5","3","4","Si"
"2021/08/11 2:30:08 PM CDT","Hombre","17","Soltero","No","No","10369","Actuaría","1102","1","Si","No","Prepa UNAM","8.2","120","120","8000","Mi casa","1","0","0","1","4","11.10","MAC OS X","1","5000","5","0","10","5","5","4","3","3","Si"
"2021/08/11 2:30:29 PM CDT","Mujer","17","Soltero","No","No","54740","Actuaría","1102","1","Si","Sí","CCH","8.5","55","400","8500","Mi casa","3","0","1","1","4","28.27","Windows","0","2000","3","30","3","3","5","2","1","4","Si"
"2021/08/11 2:31:48 PM CDT","Hombre","18","Tengo pareja","No","No","53689","Actuaría","1102","1","Si","Sí","Prepa UNAM","8.10","40","200","8000","Mi casa","5","1","0","2","4","9.83","Windows","2","400","5","120","3","5","5","5","2","5","Si"
"2021/08/11 2:31:51 PM CDT","Mujer","17","Soltero","No","No","53425","Actuaría","1102","1","Si","Sí","CCH","8.6","50","50 ","6300","Mi casa","2","1","0","1","3","17.8","Windows","1","200","5","2","2","5","5","3","1","3","Si"
"2021/08/11 2:33:48 PM CDT","Hombre","18","Tengo pareja","Si","No","56070","Actuaría","1102","1","Si","No","CCH","8.8","3.5 ","450","7500","Mi casa","5","2","1","2","3","3.40","Windows","1","15000","5","5","3","5","4","3","3","4","Si"
"2021/08/11 2:34:09 PM CDT","Mujer","17","Soltero","No","No","53800","Actuaría","1102","1","Si","Sí","CCH","9.3","40","250","10000","Mi casa","3","1","0","1","4","16.76","Windows","1","400","3","60","1","5","5","3","1","4","Si"
"2021/08/11 2:34:14 PM CDT","Mujer","18","Tengo pareja","No","No","53720","Actuaría","1102","1","Si","Sí","CCH","8.9","30","300","7000","Mi casa","6","2","0","2","3"," 17.20","Windows","2","800","3","20","15","5","5","5","3","3","Si"
"2021/08/11 2:39:55 PM CDT","Hombre","18","Soltero","No","No","53696","Actuaría","1101","2","Si","Sí","CCH","9.02","50","500","3000","Mi casa","6","4","0","4","2","0.99","Windows","3","0","4","120","6","4","3","3","2","3","Si"
